20050101
8.34,2.65
8.32,2.95
7.49,0.89
9.16,6.99
7.31,4.93
7.69,5.05
12.12,6.54
12.14,7.22
8.84,4.64
14.49,7.36
11.20,8.44
10.11,6.86
6.92,2.72
6.14,1.97
5.06,-0.53
4.80,-2.80
6.97,0.44
6.05,2.55
4.22,1.03
8.65,2.27
6.42,1.30
5.68,0.72
4.10,-1.00
1.83,-1.36
0.78,-2.92
0.78,-2.00
-0.26,-2.25
0.16,-3.36
-0.57,-5.52
5.74,-1.05
6.54,3.14
5.74,0.59
5.78,1.15
6.48,2.52
6.97,2.64
5.64,-0.17
1.23,-4.32
0.85,-5.36
2.87,-6.67
4.20,-6.01
7.45,3.22
6.41,2.06
10.38,0.96
3.53,0.53
3.37,-0.41
1.55,-1.13
0.23,-1.06
1.17,-3.32
1.43,-3.59
3.30,-0.65
3.28,0.87
3.60,-0.23
0.39,-1.39
1.23,-1.34
1.68,-0.31
2.72,-0.33
0.96,-2.59
-1.70,-6.69
1.38,-7.29
-1.11,-4.35
-0.60,-2.63
0.32,-7.43
0.20,-10.76
0.04,-7.17
0.97,-8.24
3.73,-5.69
6.03,-0.51
4.52,-3.39
5.02,-5.27
4.94,1.44
4.41,0.30
5.34,-1.83
8.40,0.42
9.85,0.97
16.45,9.70
13.31,10.73
11.18,6.57
6.74,0.27
6.08,-2.94
9.23,-1.32
12.60,-0.37
14.90,6.56
18.39,3.65
11.19,7.06
13.38,7.61
10.73,6.23
12.01,4.55
10.13,4.60
13.15,3.42
12.28,-0.33
14.52,0.91
17.35,0.89
20.44,2.79
21.91,2.79
13.45,4.26
15.34,2.50
13.43,5.70
10.55,3.39
7.60,1.26
10.12,0.17
16.72,5.26
16.36,3.23
16.13,8.41
18.02,10.64
21.91,8.48
19.45,8.94
17.56,7.16
12.35,6.12
12.07,4.26
12.15,2.04
12.00,0.73
10.57,0.81
14.67,0.62
15.68,1.67
14.57,3.93
17.16,5.54
12.18,5.89
17.40,5.66
15.72,8.02
19.78,7.45
23.64,11.24
27.82,11.69
19.64,11.77
18.10,8.50
13.82,6.58
12.85,5.89
13.33,4.37
10.89,4.20
11.80,3.55
12.82,4.73
13.25,4.85
14.03,4.87
17.28,2.15
19.77,4.99
14.34,8.69
13.29,6.10
12.21,4.11
12.96,2.69
18.24,2.15
19.34,10.24
21.94,12.55
22.75,13.52
20.13,8.81
19.00,6.38
22.06,13.36
29.37,13.41
27.90,14.35
33.84,15.10
22.86,12.95
13.63,9.33
14.87,8.68
14.17,6.87
16.21,7.42
25.75,14.01
18.99,12.55
17.29,10.73
13.46,7.90
17.33,7.81
17.88,6.58
19.29,6.20
16.68,9.99
13.93,7.89
14.56,7.36
16.23,9.03
23.58,8.75
25.56,8.13
23.48,15.28
23.66,13.56
21.79,10.76
26.79,9.83
29.47,15.34
29.28,14.91
22.14,12.84
28.65,10.83
30.01,17.36
25.47,14.02
22.45,11.20
20.86,7.96
20.88,11.62
24.47,9.37
22.89,13.50
18.75,12.73
24.60,11.13
25.56,17.24
30.61,14.97
20.24,12.30
21.85,12.78
19.53,12.63
19.01,14.11
24.52,14.38
28.51,13.05
27.71,15.04
29.54,15.12
26.91,14.85
24.94,15.12
29.16,14.71
20.66,13.49
20.11,12.60
24.91,15.76
20.40,15.28
19.79,12.39
15.59,12.49
22.13,14.45
18.39,13.54
21.42,13.30
23.48,15.99
18.52,14.02
21.45,12.06
29.97,15.61
29.23,18.99
22.30,15.88
22.37,13.20
17.66,13.26
19.63,12.45
21.74,11.14
19.33,11.98
19.57,11.51
18.00,10.85
17.43,10.23
18.94,8.75
14.79,11.78
17.16,12.70
18.78,13.30
18.18,12.68
19.50,12.89
17.36,13.39
21.97,12.74
19.16,11.87
22.83,12.93
25.81,12.24
